address
140 S. Dearborn St.
6314 S. Western Ave.
111 N. State Street
3325 N. Lincoln Ave.
75 E. Wacker Dr.
660 N. Rush St.
800-block of W. Chalmers; 2300-block of N. Chalmers; 828-58 W. Belden; 831-931 W. Fullerton
4938 S. Drexel Blvd.
520 N. Michigan Ave.
600 N. Wabash Ave.
2151 W. Washington Blvd.
Chicago River between Michigan and Wabash
Bounded by Fullerton Armitage Lincoln and Clark
7121 S. Paxton Ave.
Predominantly the 1200-1600 blocks of North Milwaukee Avenue the 1500-block of North Damen Avenue and the 1900- through 2000-blocks of West North Avenue.
53 W. Jackson Blvd.
600-618 W. Chicago Ave.
1444 1454 1737 1925 2000 S. Michigan Ave. 2200-2500 blocks of S. Michigan Ave. 2246-3453 S. Indiana Ave. and 2211-47 S. Wabash Ave.
1020 W. Sheridan Rd.
57th St. at Lake Shore Drive
Grand Ave. and Streeter Dr. at Lake Michigan
1641 E. 79th St.
37-43 S. LaSalle St.
One block of Newport Avenue between Halsted and Clark Streets
1810 W. Cortland Street
40 E. Erie St.
5624 N. Newark Ave.
2551 N. Clark St.
4500-block of S. Berkeley as well as surrounding historic structures in an area bounded by 43rd 47th Cottage Grove and the Illinois Central railroad tracks.
1400 W. Augusta Blvd.
800-block of West Oakdale Avenue between Halsted St. and Mildred Ave.
4100 block of S. Berkeley Ave. as well as surrounding historic structures in an area bounded by 35th 43rd Cottage Grove and the Illinois Central Railroad tracks
Lake Michigan near the mouth of the Chicago River
Michigan and Chicago Avenues
407 S. Dearborn St.
203 N. Wabash Ave.
Bounded by Central and Devon avenues the Chicago River and the Edgebrook Golf Course
307 N. Michigan Ave.
Bounded by Lincoln North Wells and the former Ogden right-of-way
159 N. Dearborn St.
2216 S. Wentworth Ave.
1 N. LaSalle St.
3619-27 S. State St.
177-91 N. State St.
2314 W. 111th Place
17 E. Monroe St.
919 N. Michigan Avenue
5131 S. Michigan Ave.
South of 31st St. West of Western Ave. (Chicago Sanitary and Ship Canal)
South of 19th St. East of Lumber St. (South Branch of the Chicago River)
4839 W. Irving Park Road
8935 S. Commercial Ave.
814 N. Michigan Ave.
3301 S. Indiana Ave.
55 E. Washington St.
4950 S. Chicago Beach Dr.
1800 and 1900-blocks of S. Prairie Ave. 1800-block of S. Indiana and 211-217 E. Cullerton
500- through 800-blocks of S. Dearborn S. Federal and S. Plymouth streets
1419 W. Blackhawk St.
Roughly bounded by 104th 115th Cottage Grove and Langley Sts.
2401 S. Wabash Ave.
350 East Cermak Rd.
5760 S. Lafayette Ave.
3945 N. Tripp Ave.
2703 W. Logan Blvd.
2325-33 N.Clark St.
320 N. Clark St.
32 N. State Street
4831 S. Vincennes Ave.
11 S. LaSalle St.
4021 S. State St.
5757 S. Woodlawn Ave.
1156-1180 E. 59th St.
3213-19 S. Calumet Ave.
209 S. LaSalle St.
5800 N. Ravenswood Ave.
5804 W. Race Ave.
11314 S. Front Ave.
958 W. 69th St.
11400 S. Front Ave.
1801 W. Division St.
2159 W. Belmont Ave.
3159 N. Southport Ave.
3456 S. Western Ave.
5120 N. Broadway
18th Street and Canalport Ave.
3601 N. Milwaukee Ave.
3333 W. Arthington St.
1936 S. Michigan Ave.
1250-60 and 1516-30 N. Lake Shore Dr.
160 W. Wendell St.
3669 West 23rd Street
4753 N. Broadway
5454 S. South Shore Dr.
Intersection of Michigan Avenue and Wacker Drive
5600-block of South Ellis Ave.
151-199 N. Desplaines St.
Southwest corner of W. 9th St. and S. Plymouth Ct.
2800 block of South Ashland Avenue along the south fork of the South Branch of the Chicago River
Southeast Corner of Lake Street and Wacker Drive
739 E. 35th St.
2019 N. Stockton Dr.
7059 South Shore Drive
3831 S. Michigan Ave.
4659 S. Cottage Grove Ave.
1038 W. 35th St.
6401-09 S. Woodlawn Ave.
1076 W. Roosevelt Road
Jackson Park at the intersection of Hayes &amp; Richards Drs.
35th Street and Cottage Grove Ave.
188 W. Randolph St.
4150 S. Halsted St.
315 E. 35th St.
3501 S. Dr. Martin Luther King Jr. Dr.
Predominantly 400- and 500-blocks of W. Surf St. and 2800-block of N. Pine Grove Ave.
5400 N. Clark Street
Buildings at 1048 1054 1057 and 1059 W. Oakdale Ave.; terra-cotta wall at 1040-1042 1048 and 1059 W. Oakdale Ave.
1215-25 W. 18th St.
2466 N. Lakeview Ave.
301 N. Mayfield Ave.
1300 N. Dearborn St.
601-623 N. State Street; 4-10 E. Ohio Street; 3-7 E. Ontario Street
435 N. Michigan Ave.
6720 S. Stewart Ave.
201 N. Wells St.
7059 N. Olcott Ave.
1519-1521 W. Warren Boulevard
210 S. Canal Street
Exchange Ave. at Peoria St.
3140 S. Indiana Ave.
4816 N. Broadway
2543-45 W. Diversey St.
444 N. LaSalle St.
35th Street and King Drive
3600 through 3800-blocks of N. Avers Hamlin Harding and Springfield
1546-1550 N. Clark St.
2431 W. Roosevelt Rd.
3763 S. Wabash Ave.
42 N. Central Ave.
1600-1800 blocks of Griffin Place (formerly West 104th Place)
40 N. Wells St.
4900-4959 S. Washington Park Ct. and 417-439 E. 50th St.
244 E. Pershing Road
2400 W. Madison St.
2018 S. Calumet Ave.
4200 W. Irving Park Road
43 E. Cermak Rd.
6231 N. Canfield Ave.
626 N. Michigan Ave.
2801 S. Prairie Avenue
1060 W. Addison St.
6565 S. Yale Ave.
758 W. North Ave.
